1`HB`1138_bus`1138`1138`4054`yes`1138`1`1`0`symmetric`symmetric`real`symmetric`yes`yes`D. Tylavsky`I. Duff, R. Grimes, J. Lewis`1985`power network problem`
2`HB`494_bus`494`494`1666`yes`494`1`1`0`symmetric`symmetric`real`symmetric`yes`yes`D. Tylavsky`I. Duff, R. Grimes, J. Lewis`1985`power network problem`
3`HB`662_bus`662`662`2474`yes`662`1`1`0`symmetric`symmetric`real`symmetric`yes`yes`D. Tylavsky`I. Duff, R. Grimes, J. Lewis`1985`power network problem`
4`HB`685_bus`685`685`3249`yes`685`1`1`0`symmetric`symmetric`real`symmetric`yes`yes`D. Tylavsky`I. Duff, R. Grimes, J. Lewis`1985`power network problem`
5`HB`abb313`313`176`1557`yes`176`1`2`0`0%`0%`binary`rectangular`no`no`M. Abbas`A. Curtis, I. Duff, J. Reid`1974`least squares problem`
6`HB`arc130`130`130`1037`yes`130`55`55`245`76%`0%`real`unsymmetric`no`no`A. Curtis`A. Curtis, I. Duff, J. Reid`1974`materials problem`
7`HB`ash219`219`85`438`yes`85`1`1`0`0%`0%`binary`rectangular`no`no`V. Askenazi`A. Curtis, I. Duff, J. Reid`1974`least squares problem`
8`HB`ash292`292`292`2208`yes`292`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`V. Askenazi`A. Curtis, I. Duff, J. Reid`1974`least squares problem`
9`HB`ash331`331`104`662`yes`104`1`1`0`0%`0%`binary`rectangular`no`no`V. Askenazi`A. Curtis, I. Duff, J. Reid`1974`least squares problem`
10`HB`ash608`608`188`1216`yes`188`1`1`0`0%`0%`binary`rectangular`no`no`V. Askenazi`A. Curtis, I. Duff, J. Reid`1974`least squares problem`
11`HB`ash85`85`85`523`yes`85`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`V. Askenazi`A. Curtis, I. Duff, J. Reid`1974`least squares problem`
12`HB`ash958`958`292`1916`yes`292`1`1`0`0%`0%`binary`rectangular`no`no`V. Askenazi`A. Curtis, I. Duff, J. Reid`1974`least squares problem`
13`HB`bcspwr01`39`39`131`yes`39`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`B. Dembart, J. Lewis`I. Duff, R. Grimes, J. Lewis`1981`power network problem`
14`HB`bcspwr02`49`49`167`yes`49`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`B. Dembart, J. Lewis`I. Duff, R. Grimes, J. Lewis`1981`power network problem`
15`HB`bcspwr03`118`118`476`yes`118`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`B. Dembart, J. Lewis`I. Duff, R. Grimes, J. Lewis`1981`power network problem`
16`HB`bcspwr04`274`274`1612`yes`274`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`B. Dembart, J. Lewis`I. Duff, R. Grimes, J. Lewis`1981`power network problem`
17`HB`bcspwr05`443`443`1623`yes`443`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`B. Dembart, J. Lewis`I. Duff, R. Grimes, J. Lewis`1981`power network problem`
